TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
2817927;2818005;2818195;2818279;2902371;0;0;14;0;125;4_5;0
2968948;2969028;2969283;3180060;3263946;207;0;14;10;125;4_5;1
3330483;3330563;3333666;3545046;3628920;207;0;14;10;125;4_5;2
3695547;3695627;3698739;3910050;3993880;207;0;14;10;125;4_5;3
4060415;4060495;4063603;4275047;4356500;207;0;14;10;125;4_5;4
4420716;4420800;4423933;4677053;4760911;248;0;14;10;125;4_5;5
4827560;4827648;4830762;5084051;5167958;248;0;14;10;125;4_5;6
5238121;5238199;5241375;5491055;5574869;248;0;14;10;125;4_5;7
5641417;5641497;5644608;5898051;5981958;248;0;14;10;125;4_5;8
6048564;6048644;6051764;6305053;6388882;248;0;14;10;125;4_5;9
6455446;6455526;6458631;6752051;6836002;289;0;14;10;125;4_5;10
6902677;6902761;6905892;7199053;7282954;289;0;14;10;125;4_5;11
7349581;7349662;7352771;7646051;7730026;289;0;14;10;125;4_5;12
7796701;7796781;7799914;8093054;8176972;289;0;14;10;125;4_5;13
8243610;8243694;8246813;8540052;8623977;289;0;14;10;125;4_5;14
8694321;8694404;8697588;9029055;9112990;330;0;14;10;125;4_5;15
9179591;9179672;9182792;9518051;9602075;330;0;14;10;125;4_5;16
9668748;9668830;9671974;10007053;10091034;330;0;14;10;125;4_5;17
10157664;10157745;10160886;10496051;10580045;330;0;14;10;125;4_5;18
10646729;10646812;10649960;10985054;11068963;330;0;14;10;125;4_5;19
11135671;11135751;11138892;11514051;11598065;371;0;14;10;125;4_5;20
11664746;11664828;11667968;12043053;12127009;371;0;14;10;125;4_5;21
12193709;12193797;12196940;12572051;12656047;371;0;14;10;125;4_5;22
12726418;12726496;12729695;13103060;13187015;371;0;14;10;125;4_5;23
13253654;13253735;13256874;13632051;13716036;371;0;14;10;125;4_5;24
13782727;13782811;13785958;14203053;14286993;412;0;14;10;125;4_5;25
14353621;14353705;14356831;14774051;14858083;412;0;14;10;125;4_5;26
14924768;14924852;14927998;15345053;15428979;412;0;14;10;125;4_5;27
15495659;15495739;15498882;15916051;16000051;412;0;14;10;125;4_5;28
16066745;16066828;16069979;16487058;16570990;412;0;14;10;125;4_5;29
16637647;16637727;16640871;17098051;17182034;453;0;14;10;125;4_5;30
17252300;17252378;17255584;17711055;17794993;453;0;14;10;125;4_5;31
17861592;17861673;17864811;18322050;18406029;453;0;14;10;125;4_5;32
18472687;18472767;18475923;18933053;19017002;453;0;14;10;125;4_5;33
19083708;19083792;19086944;19544051;19628065;453;0;14;10;125;4_5;34
19694749;19694832;19697981;20195053;20278974;494;0;14;10;125;4_5;35
20345601;20345686;20348825;20846051;20930040;494;0;14;10;125;4_5;36
20996724;20996812;20999965;21497053;21581021;494;0;14;10;125;4_5;37
21651281;21651359;21654560;22150053;22234029;494;78;14;10;125;4_5;38
22300731;22300818;22303972;22801054;22884994;494;0;14;10;125;4_5;39
22951652;22951732;22954880;23494055;23578053;535;0;14;10;125;4_5;40
23644747;23644830;23647983;24187053;24270977;535;0;14;10;125;4_5;41
24337600;24337681;24340819;24880051;24964029;535;0;14;10;125;4_5;42
25030705;25030786;25033942;25573053;25656981;535;0;14;10;125;4_5;43
25723600;25723681;25726821;26266051;26350045;535;0;14;10;125;4_5;44
26416772;26416856;26420017;26999053;27083026;576;0;14;10;125;4_5;45
27153340;27153418;27156621;27734053;27818051;576;0;14;10;125;4_5;46
27884743;27884826;27887979;28467053;28550974;576;0;14;10;125;4_5;47
28617622;28617706;28620851;29200051;29284071;576;0;14;10;125;4_5;48
29350779;29350872;29354023;29933054;30016990;576;0;14;10;125000;4_5;49
30083688;30083768;30086929;30708051;30792061;617;0;14;10;125;4_5;50
30858750;30858832;30861996;31483057;31567017;617;0;14;10;125;4_5;51
8695929;8696008;8696198;8696281;8780385;0;0;14;0;125;4_6;0
8846980;8847061;8847316;9066054;9149938;216;0;14;10;125;4_6;1
9216481;9216561;9219664;9439046;9522933;216;0;14;10;125;4_6;2
9589543;9589623;9592734;9812054;9895878;216;0;14;10;125;4_6;3
9962420;9962500;9965612;10185047;10266507;216;0;14;10;125;4_6;4
10330705;10330786;10333918;10603054;10686920;265;0;14;10;125;4_6;5
10753480;10753560;10756675;11026056;11109993;265;0;14;10;125;4_6;6
11180155;11180234;11183416;11452055;11535902;265;0;14;10;125;4_6;7
11602481;11602561;11605674;11875052;11958952;265;0;14;10;125;4_6;8
12025569;12025650;12028765;12298054;12381933;265;0;14;10;125;4_6;9
12448550;12448631;12451735;12769052;12853049;314;0;14;10;125;4_6;10
12919783;12919881;12923007;13240053;13324023;314;0;14;10;125;4_6;11
13390656;13390736;13393854;13711051;13795055;314;0;14;10;125;4_6;12
13861752;13861836;13864968;14182054;14266004;314;0;14;10;125;4_6;13
14332576;14332660;14335772;14653052;14737074;314;0;14;10;125;4_6;14
14807437;14807516;14810705;15176055;15259964;363;0;14;10;125;4_6;15
15326606;15326686;15329818;15697051;15781083;363;0;14;10;125;4_6;16
15847754;15847838;15850988;16218057;16302004;363;0;14;10;125;4_6;17
16368651;16368731;16371871;16739051;16823051;363;0;14;10;125;4_6;18
16889722;16889805;16892946;17260054;17343990;363;0;14;10;125;4_6;19
17410637;17410718;17413845;17829072;17913070;412;0;14;10;125;4_6;20
17979761;17979844;17982983;18398074;18482040;412;0;14;10;125;4_6;21
18552296;18552379;18555573;18969053;19053055;412;0;14;10;125;4_6;22
19119845;19119935;19123074;19540053;19623997;412;0;14;10;125;4_6;23
19690638;19690718;19693849;20111051;20195067;412;0;14;10;125;4_6;24
20261755;20261839;20264985;20730053;20813981;461;0;14;10;125;4_6;25
20880680;20880764;20883902;21349051;21433067;461;0;14;10;125;4_6;26
21499736;21499820;21502966;21968053;22051999;461;0;14;10;125;4_6;27
22118705;22118786;22121931;22587051;22671059;461;0;14;10;125;4_6;28
22737796;22737885;22741021;23206053;23289999;461;0;14;10;125;4_6;29
23360223;23360301;23363494;23877053;23961026;510;0;14;10;125;4_6;30
24027743;24027826;24030970;24546053;24630004;510;0;14;10;125;4_6;31
24696666;24696746;24699888;25215051;25299032;510;0;14;10;125;4_6;32
25365703;25365787;25368946;25884053;25968004;510;0;14;10;125;4_6;33
26034659;26034739;26037892;26553056;26637040;510;0;14;10;125;4_6;34
26703737;26703820;26706968;27270054;27353990;560;0;14;10;125;4_6;35
27420645;27420725;27423871;27987052;28071069;560;0;14;10;125;4_6;36
28141354;28141436;28144646;28706055;28790015;560;0;14;10;125;4_6;37
28856645;28856726;28859874;29423052;29507083;560;0;14;10;125;4_6;38
29573825;29573920;29577078;30140054;30224004;560;0;14;10;125;4_6;39
30290695;30290775;30293925;30907051;30991053;609;0;14;10;125;4_6;40
31057744;31057828;31060979;31674053;31757983;609;0;14;10;125;4_6;41
31824627;31824707;31827843;32441050;32525032;609;0;14;10;125;4_6;42
32591765;32591849;32595002;33208053;33291997;609;0;14;10;125;4_6;43
33358610;33358691;33361838;33975051;34059067;609;0;14;10;125;4_6;44
34129470;34129549;34132759;34792060;34876008;658;0;14;10;125;4_6;45
34942641;34942721;34945871;35607051;35691042;658;0;14;10;125;4_6;46
35757747;35757830;35760985;36422053;36506004;658;0;14;10;125;4_6;47
36572642;36572726;36575904;37237051;37321075;658;0;14;10;125;4_6;48
37387768;37387851;37391011;38052053;38135993;658;0;14;10;125;4_6;49
38202691;38202776;38205938;38917051;39001055;707;0;14;10;125;4_6;50
39067802;39067895;39071044;39782053;39866004;707;0;14;10;125;4_6;51
6475929;6476007;6476198;6476281;6560383;0;0;14;0;125;4_7;0
6626986;6627066;6627322;6854053;6937931;224;0;14;10;125;4_7;1
7004476;7004556;7007658;7235046;7318920;224;0;14;10;125;4_7;2
7385545;7385625;7388737;7616061;7699874;224;0;14;10;125;4_7;3
7766413;7766493;7769603;7997047;8078563;224;0;14;10;125;4_7;4
8142739;8142822;8145956;8431053;8514908;281;0;14;10;125;4_7;5
8581507;8581591;8584702;8870051;8953946;281;0;14;10;125;4_7;6
9024107;9024185;9027359;9311055;9394876;281;0;14;10;125;4_7;7
9461437;9461518;9464634;9750052;9833944;281;0;14;10;125;4_7;8
9900582;9900663;9903779;10189054;10272871;281;0;14;10;125;4_7;9
10339464;10339545;10342654;10686051;10770026;338;0;14;10;125;4_7;10
10836762;10836849;10839981;11183053;11266976;338;0;14;10;125;4_7;11
11333655;11333735;11336851;11680051;11764034;338;0;14;10;125;4_7;12
11830743;11830826;11833956;12177053;12260986;338;0;14;10;125;4_7;13
12327613;12327696;12330817;12674051;12758046;338;0;14;10;125;4_7;14
12828427;12828510;12831692;13229055;13312988;396;0;14;10;125;4_7;15
13379705;13379786;13382948;13782051;13866034;396;0;14;10;125;4_7;16
13932759;13932842;13935977;14335057;14419031;396;0;14;10;125;4_7;17
14485669;14485750;14488890;14888051;14972042;396;0;14;10;125;4_7;18
15038745;15038828;15041968;15441054;15524990;396;0;14;10;125;4_7;19
15591646;15591726;15594852;16052051;16136098;453;0;14;10;125;4_7;20
16202784;16202877;16206015;16663053;16746966;453;0;14;10;125;4_7;21
16813634;16813718;16816852;17274050;17358057;453;0;14;10;125;4_7;22
17428420;17428498;17431701;17887055;17970972;453;0;14;10;125;4_7;23
18037629;18037709;18040843;18498051;18582040;453;0;14;10;125;4_7;24
18648726;18648811;18651956;19167053;19250988;510;0;14;10;125;4_7;25
19317667;19317751;19320894;19836051;19920096;510;0;14;10;125;4_7;26
19986799;19986889;19990033;20505053;20589008;510;0;14;10;125;4_7;27
20655654;20655735;20658880;21174051;21258034;510;0;14;10;125;4_7;28
21324772;21324857;21328007;21843053;21926990;510;0;14;10;125;4_7;29
21997212;21997290;22000482;22570053;22654031;568;0;14;10;125;4_7;30
22720729;22720812;22723960;23295054;23379015;568;0;14;10;125;4_7;31
23445661;23445741;23448886;24020051;24104096;568;0;14;10;125;4_7;32
24170770;24170856;24174009;24745054;24828995;568;0;14;10;125;4_7;33
24895684;24895764;24898916;25470052;25554040;568;0;14;10;125;4_7;34
25620739;25620822;25623970;26253053;26336990;625;0;14;10;125;4_7;35
26403641;26403721;26406858;27036051;27120086;625;0;14;10;125;4_7;36
27186768;27186856;27190004;27819053;27903021;625;0;14;10;125;4_7;37
27973268;27973346;27976545;28606053;28690077;625;0;14;10;125;4_7;38
28756770;28756856;28760015;29389054;29473002;625;0;14;10;125;4_7;39
29539702;29539782;29542933;30230051;30314055;682;0;14;10;125;4_7;40
30380766;30380849;30384002;31071053;31154974;682;0;14;10;125;4_7;41
31221617;31221697;31224833;31912051;31996049;682;0;14;10;125;4_7;42
32062727;32062811;32065966;32753053;32836966;682;0;14;10;125;4_7;43
32903633;32903713;32906854;33594051;33678053;682;0;14;10;125;4_7;44
33748401;33748479;33751680;34493064;34577032;740;0;14;10;125;4_7;45
34643666;34643746;34646902;35390051;35474032;740;0;14;10;125;4_7;46
35540731;35540814;35543969;36287053;36370990;740;0;14;10;125;4_7;47
36437644;36437729;36440900;37184051;37268049;740;0;14;10;125;4_7;48
37334779;37334872;37338023;38081053;38164966;740;0;14;10;125;4_7;49
38231626;38231711;38234874;39036051;39120096;797;0;14;10;125;4_7;50
39186805;39186897;39190058;39991053;40074990;797;0;14;10;125;4_7;51
10659914;10659992;10660182;10660272;10744371;0;0;14;0;125;4_8;0
10810985;10811066;10811323;11046057;11130018;232;0;14;10;125;4_8;1
11196547;11196627;11199735;11435052;11518963;232;0;14;10;125;4_8;2
11585591;11585671;11588781;11824055;11907890;232;0;14;10;125;4_8;3
11974434;11974515;11977625;12213053;12294559;232;0;14;10;125;4_8;4
12358730;12358814;12361946;12663059;12746931;297;0;14;10;125;4_8;5
12813550;12813635;12816744;13118058;13201972;297;0;14;10;125;4_8;6
13272169;13272247;13275418;13575060;13658886;297;0;14;10;125;4_8;7
13725451;13725531;13728639;14030057;14114025;297;0;14;10;125;4_8;8
14180625;14180705;14183829;14485059;14568944;297;0;14;10;125;4_8;9
14635556;14635638;14638745;15008058;15092102;363;0;14;10;125;4_8;10
15158797;15158893;15162021;15529063;15613029;363;0;14;10;125;4_8;11
15679644;15679725;15682839;16050056;16134085;363;0;14;10;125;4_8;12
16200766;16200850;16203982;16571059;16654977;363;0;14;10;125;4_8;13
16725171;16725253;16728429;17095059;17179083;363;0;14;10;125;4_8;14
17245791;17245883;17248996;17682059;17765982;429;0;14;10;125;4_8;15
17832632;17832713;17835845;18269057;18353061;429;0;14;10;125;4_8;16
18419815;18419905;18423035;18856058;18939980;429;0;14;10;125;4_8;17
19006621;19006701;19009833;19443057;19527034;429;0;14;10;125;4_8;18
19593713;19593794;19596935;20030059;20114039;429;0;14;10;125;4_8;19
20180654;20180735;20183858;20681057;20765025;494;0;14;10;125;4_8;20
20831713;20831794;20834935;21332059;21416018;494;0;14;10;125;4_8;21
21486267;21486349;21489543;21987058;22071095;494;0;14;10;125;4_8;22
22137809;22137899;22141037;22638059;22721987;494;0;14;10;125;4_8;23
22788611;22788691;22791819;23289057;23373044;494;0;14;10;125;4_8;24
23439753;23439840;23442985;24006059;24090050;560;0;14;10;125;4_8;25
24156727;24156812;24159946;24723057;24807034;560;0;14;10;125;4_8;26
24873698;24873779;24876931;25440058;25523996;560;0;14;10;125;4_8;27
25590672;25590756;25593894;26157057;26241061;560;0;14;10;125;4_8;28
26311369;26311448;26314645;26876061;26959980;560;0;14;10;125;4_8;29
27026602;27026682;27029817;27659057;27743046;625;0;14;10;125;4_8;30
27809741;27809828;27812972;28442059;28526015;625;0;14;10;125;4_8;31
28592642;28592722;28595860;29225056;29309037;625;0;14;10;125;4_8;32
29375739;29375826;29378980;30008059;30092020;625;0;14;10;125;4_8;33
30158670;30158750;30161896;30791061;30875050;625;0;14;10;125;4_8;34
30941744;30941828;30944974;31640059;31723992;691;0;14;10;125;4_8;35
31790620;31790701;31793847;32489057;32573029;691;0;14;10;125;4_8;36
32643388;32643466;32646672;33340061;33423996;691;0;14;10;125;4_8;37
