TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille;;;;;;;;;;;
2817927;2818005;2818195;2818279;2902371;0;0;14;0;125;4_5;0;;;;;;;;;;;
2968948;2969028;2969283;3180060;3263946;207;0;14;10;125;4_5;1;;;;;;;;;;;
3330483;3330563;3333666;3545046;3628920;207;0;14;10;125;4_5;2;;;;"""=NB.SI(A:E;""NaN"")""";"""=NB.SI(F:F;0)""";0;;;;;
3695547;3695627;3698739;3910050;3993880;207;0;14;10;125;4_5;3;;;;;;;;;;;
4060415;4060495;4063603;4275047;4356500;207;0;14;10;125;4_5;4;;;;;;;;;;;
4420716;4420800;4423933;4677053;4760911;248;0;14;10;125;4_5;5;;;;;;;;;;;
4827560;4827648;4830762;5084051;5167958;248;0;14;10;125;4_5;6;;;;;;;;;;;
5238121;5238199;5241375;5491055;5574869;248;0;14;10;125;4_5;7;;Erreur;Erreur de A à E;Erreur F;Erreur G;Erreur H;Erreur I;Erreur J;Erreur K;Erreur L;Total
5641417;5641497;5644608;5898051;5981958;248;0;14;10;125;4_5;8;;Formule;"""=NB.SI(A:E;""NaN"")""";"""=NB.SI(F:F;0)""";"""=NB.SI(G:G; "">0"")""";0;"""=NB.SI(I:I; ""0"")""";"""=NB.SI(J:J; "">250"")""";0;"""=NB.SI(L:L; ""<51"")""";
6048564;6048644;6051764;6305053;6388882;248;0;14;10;125;4_5;9;;Nb erreur ;4;28;1;0;28;1;0;1428;1490
6455446;6455526;6458631;6752051;6836002;289;0;14;10;125;4_5;10;;Pourcentage erreur;0,02%;0,74%;0,03%;0,00%;0,74%;0,03%;0,00%;37,94%;4%
6902677;6902761;6905892;7199053;7282954;289;0;14;10;125;4_5;11;;;;;;;;;;;
7349581;7349662;7352771;7646051;7730026;289;0;14;10;125;4_5;12;;;;;;;;;;;
7796701;7796781;7799914;8093054;8176972;289;0;14;10;125;4_5;13;;;;;;;;;;;
8243610;8243694;8246813;8540052;8623977;289;0;14;10;125;4_5;14;;sf > 0      BW > 125000     taille < 51;;;;;;;;;
8694321;8694404;8697588;9029055;9112990;330;0;14;10;125;4_5;15;;;;;;;;;;;
9179591;9179672;9182792;9518051;9602075;330;0;14;10;125;4_5;16;;;;;;;;;;;
9668748;9668830;9671974;10007053;10091034;330;0;14;10;125;4_5;17;;;18820;;;419,9373007;;;;;
10157664;10157745;10160886;10496051;10580045;330;0;14;10;125;4_5;18;;;;;;;;;;;
10646729;10646812;10649960;10985054;11068963;330;0;14;10;125;4_5;19;;;;;;;;;;;
11135671;11135751;11138892;11514051;11598065;371;0;14;10;125;4_5;20;;TOA ; calcul ;seconde;minutes;;;;;;
11664746;11664828;11667968;12043053;12127009;371;0;14;10;125;4_5;21;;0;0;0;0;;;;;;
12193709;12193797;12196940;12572051;12656047;371;0;14;10;125;4_5;22;;207;20493;20,493;0,34155;;;;;;
12726418;12726496;12729695;13103060;13187015;371;0;14;10;125;4_5;23;;207;20493;20,493;0,34155;;;;;;
13253654;13253735;13256874;13632051;13716036;371;0;14;10;125;4_5;24;;207;20493;20,493;0,34155;;;;;;
13782727;13782811;13785958;14203053;14286993;412;0;14;10;125;4_5;25;;207;20493;20,493;0,34155;;;;;;
14353621;14353705;14356831;14774051;14858083;412;0;14;10;125;4_5;26;;248;24552;24,552;0,4092;;;;;;
14924768;14924852;14927998;15345053;15428979;412;0;14;10;125;4_5;27;;248;24552;24,552;0,4092;;;;;;
15495659;15495739;15498882;15916051;16000051;412;0;14;10;125;4_5;28;;248;24552;24,552;0,4092;;;;;;
16066745;16066828;16069979;16487058;16570990;412;0;14;10;125;4_5;29;;248;24552;24,552;0,4092;;;;;;
16637647;16637727;16640871;17098051;17182034;453;0;14;10;125;4_5;30;;248;24552;24,552;0,4092;;;;;;
17252300;17252378;17255584;17711055;17794993;453;0;14;10;125;4_5;31;;289;28611;28,611;0,47685;;;;;;
17861592;17861673;17864811;18322050;18406029;453;0;14;10;125;4_5;32;;289;28611;28,611;0,47685;;;;;;
18472687;18472767;18475923;18933053;19017002;453;0;14;10;125;4_5;33;;289;28611;28,611;0,47685;;;;;;
19083708;19083792;19086944;19544051;19628065;453;0;14;10;125;4_5;34;;289;28611;28,611;0,47685;;;;;;
19694749;19694832;19697981;20195053;20278974;494;0;14;10;125;4_5;35;;289;28611;28,611;0,47685;;;;;;
20345601;20345686;20348825;20846051;20930040;494;0;14;10;125;4_5;36;;330;32670;32,67;0,5445;;;;;;
20996724;20996812;20999965;21497053;21581021;494;0;14;10;125;4_5;37;;330;32670;32,67;0,5445;;;;;;
21651281;21651359;21654560;22150053;22234029;494;78;14;10;125;4_5;38;;330;32670;32,67;0,5445;;;;;;
22300731;22300818;22303972;22801054;22884994;494;0;14;10;125;4_5;39;;330;32670;32,67;0,5445;;;;;;
22951652;22951732;22954880;23494055;23578053;535;0;14;10;125;4_5;40;;330;32670;32,67;0,5445;;;;;;
23644747;23644830;23647983;24187053;24270977;535;0;14;10;125;4_5;41;;371;36729;36,729;0,61215;;;;;;
24337600;24337681;24340819;24880051;24964029;535;0;14;10;125;4_5;42;;371;36729;36,729;0,61215;;;;;;
25030705;25030786;25033942;25573053;25656981;535;0;14;10;125;4_5;43;;371;36729;36,729;0,61215;;;;;;
25723600;25723681;25726821;26266051;26350045;535;0;14;10;125;4_5;44;;371;36729;36,729;0,61215;;;;;;
26416772;26416856;26420017;26999053;27083026;576;0;14;10;125;4_5;45;;371;36729;36,729;0,61215;;;;;;
27153340;27153418;27156621;27734053;27818051;576;0;14;10;125;4_5;46;;412;40788;40,788;0,6798;;;;;;
27884743;27884826;27887979;28467053;28550974;576;0;14;10;125;4_5;47;;412;40788;40,788;0,6798;;;;;;
28617622;28617706;28620851;29200051;29284071;576;0;14;10;125;4_5;48;;412;40788;40,788;0,6798;;;;;;
29350779;29350872;29354023;29933054;30016990;576;0;14;10;125000;4_5;49;;412;40788;40,788;0,6798;;;;;;
30083688;30083768;30086929;30708051;30792061;617;0;14;10;125;4_5;50;;412;40788;40,788;0,6798;;;;;;
30858750;30858832;30861996;31483057;31567017;617;0;14;10;125;4_5;51;;453;44847;44,847;0,74745;;;;;;
8695929;8696008;8696198;8696281;8780385;0;0;14;0;125;4_6;0;;453;44847;44,847;0,74745;;;;;;
8846980;8847061;8847316;9066054;9149938;216;0;14;10;125;4_6;1;;453;44847;44,847;0,74745;;;;;;
9216481;9216561;9219664;9439046;9522933;216;0;14;10;125;4_6;2;;453;44847;44,847;0,74745;;;;;;
9589543;9589623;9592734;9812054;9895878;216;0;14;10;125;4_6;3;;453;44847;44,847;0,74745;;;;;;
9962420;9962500;9965612;10185047;10266507;216;0;14;10;125;4_6;4;;494;48906;48,906;0,8151;;;;;;
10330705;10330786;10333918;10603054;10686920;265;0;14;10;125;4_6;5;;494;48906;48,906;0,8151;;;;;;
10753480;10753560;10756675;11026056;11109993;265;0;14;10;125;4_6;6;;494;48906;48,906;0,8151;;;;;;
11180155;11180234;11183416;11452055;11535902;265;0;14;10;125;4_6;7;;494;48906;48,906;0,8151;;;;;;
11602481;11602561;11605674;11875052;11958952;265;0;14;10;125;4_6;8;;494;48906;48,906;0,8151;;;;;;
12025569;12025650;12028765;12298054;12381933;265;0;14;10;125;4_6;9;;535;52965;52,965;0,88275;;;;;;
12448550;12448631;12451735;12769052;12853049;314;0;14;10;125;4_6;10;;535;52965;52,965;0,88275;;;;;;
12919783;12919881;12923007;13240053;13324023;314;0;14;10;125;4_6;11;;535;52965;52,965;0,88275;;;;;;
13390656;13390736;13393854;13711051;13795055;314;0;14;10;125;4_6;12;;535;52965;52,965;0,88275;;;;;;
13861752;13861836;13864968;14182054;14266004;314;0;14;10;125;4_6;13;;535;52965;52,965;0,88275;;;;;;
14332576;14332660;14335772;14653052;14737074;314;0;14;10;125;4_6;14;;576;57024;57,024;0,9504;;;;;;
14807437;14807516;14810705;15176055;15259964;363;0;14;10;125;4_6;15;;576;57024;57,024;0,9504;;;;;;
15326606;15326686;15329818;15697051;15781083;363;0;14;10;125;4_6;16;;576;57024;57,024;0,9504;;;;;;
15847754;15847838;15850988;16218057;16302004;363;0;14;10;125;4_6;17;;576;57024;57,024;0,9504;;;;;;
16368651;16368731;16371871;16739051;16823051;363;0;14;10;125;4_6;18;;576;57024;57,024;0,9504;;;;;;
16889722;16889805;16892946;17260054;17343990;363;0;14;10;125;4_6;19;;617;61083;61,083;1,01805;;;;;;
17410637;17410718;17413845;17829072;17913070;412;0;14;10;125;4_6;20;;617;61083;61,083;1,01805;;;;;;
17979761;17979844;17982983;18398074;18482040;412;0;14;10;125;4_6;21;;0;0;0;0;;;;;;
18552296;18552379;18555573;18969053;19053055;412;0;14;10;125;4_6;22;;216;21384;21,384;0,3564;;;;;;
19119845;19119935;19123074;19540053;19623997;412;0;14;10;125;4_6;23;;216;21384;21,384;0,3564;;;;;;
19690638;19690718;19693849;20111051;20195067;412;0;14;10;125;4_6;24;;216;21384;21,384;0,3564;;;;;;
20261755;20261839;20264985;20730053;20813981;461;0;14;10;125;4_6;25;;216;21384;21,384;0,3564;;;;;;
20880680;20880764;20883902;21349051;21433067;461;0;14;10;125;4_6;26;;265;26235;26,235;0,43725;;;;;;
21499736;21499820;21502966;21968053;22051999;461;0;14;10;125;4_6;27;;265;26235;26,235;0,43725;;;;;;
22118705;22118786;22121931;22587051;22671059;461;0;14;10;125;4_6;28;;265;26235;26,235;0,43725;;;;;;
22737796;22737885;22741021;23206053;23289999;461;0;14;10;125;4_6;29;;265;26235;26,235;0,43725;;;;;;
23360223;23360301;23363494;23877053;23961026;510;0;14;10;125;4_6;30;;265;26235;26,235;0,43725;;;;;;
24027743;24027826;24030970;24546053;24630004;510;0;14;10;125;4_6;31;;314;31086;31,086;0,5181;;;;;;
24696666;24696746;24699888;25215051;25299032;510;0;14;10;125;4_6;32;;314;31086;31,086;0,5181;;;;;;
25365703;25365787;25368946;25884053;25968004;510;0;14;10;125;4_6;33;;314;31086;31,086;0,5181;;;;;;
26034659;26034739;26037892;26553056;26637040;510;0;14;10;125;4_6;34;;314;31086;31,086;0,5181;;;;;;
26703737;26703820;26706968;27270054;27353990;560;0;14;10;125;4_6;35;;314;31086;31,086;0,5181;;;;;;
27420645;27420725;27423871;27987052;28071069;560;0;14;10;125;4_6;36;;363;35937;35,937;0,59895;;;;;;
28141354;28141436;28144646;28706055;28790015;560;0;14;10;125;4_6;37;;363;35937;35,937;0,59895;;;;;;
28856645;28856726;28859874;29423052;29507083;560;0;14;10;125;4_6;38;;363;35937;35,937;0,59895;;;;;;
29573825;29573920;29577078;30140054;30224004;560;0;14;10;125;4_6;39;;363;35937;35,937;0,59895;;;;;;
30290695;30290775;30293925;30907051;30991053;609;0;14;10;125;4_6;40;;363;35937;35,937;0,59895;;;;;;
31057744;31057828;31060979;31674053;31757983;609;0;14;10;125;4_6;41;;412;40788;40,788;0,6798;;;;;;
31824627;31824707;31827843;32441050;32525032;609;0;14;10;125;4_6;42;;412;40788;40,788;0,6798;;;;;;
32591765;32591849;32595002;33208053;33291997;609;0;14;10;125;4_6;43;;412;40788;40,788;0,6798;;;;;;
33358610;33358691;33361838;33975051;34059067;609;0;14;10;125;4_6;44;;412;40788;40,788;0,6798;;;;;;
34129470;34129549;34132759;34792060;34876008;658;0;14;10;125;4_6;45;;412;40788;40,788;0,6798;;;;;;
34942641;34942721;34945871;35607051;35691042;658;0;14;10;125;4_6;46;;461;45639;45,639;0,76065;;;;;;
35757747;35757830;35760985;36422053;36506004;658;0;14;10;125;4_6;47;;461;45639;45,639;0,76065;;;;;;
36572642;36572726;36575904;37237051;37321075;658;0;14;10;125;4_6;48;;461;45639;45,639;0,76065;;;;;;
37387768;37387851;37391011;38052053;38135993;658;0;14;10;125;4_6;49;;461;45639;45,639;0,76065;;;;;;
38202691;38202776;38205938;38917051;39001055;707;0;14;10;125;4_6;50;;461;45639;45,639;0,76065;;;;;;
39067802;39067895;39071044;39782053;39866004;707;0;14;10;125;4_6;51;;510;50490;50,49;0,8415;;;;;;
6475929;6476007;6476198;6476281;6560383;0;0;14;0;125;4_7;0;;510;50490;50,49;0,8415;;;;;;
6626986;6627066;6627322;6854053;6937931;224;0;14;10;125;4_7;1;;510;50490;50,49;0,8415;;;;;;
7004476;7004556;7007658;7235046;7318920;224;0;14;10;125;4_7;2;;510;50490;50,49;0,8415;;;;;;
7385545;7385625;7388737;7616061;7699874;224;0;14;10;125;4_7;3;;510;50490;50,49;0,8415;;;;;;
7766413;7766493;7769603;7997047;8078563;224;0;14;10;125;4_7;4;;560;55440;55,44;0,924;;;;;;
8142739;8142822;8145956;8431053;8514908;281;0;14;10;125;4_7;5;;560;55440;55,44;0,924;;;;;;
8581507;8581591;8584702;8870051;8953946;281;0;14;10;125;4_7;6;;560;55440;55,44;0,924;;;;;;
9024107;9024185;9027359;9311055;9394876;281;0;14;10;125;4_7;7;;560;55440;55,44;0,924;;;;;;
9461437;9461518;9464634;9750052;9833944;281;0;14;10;125;4_7;8;;560;55440;55,44;0,924;;;;;;
9900582;9900663;9903779;10189054;10272871;281;0;14;10;125;4_7;9;;609;60291;60,291;1,00485;;;;;;
10339464;10339545;10342654;10686051;10770026;338;0;14;10;125;4_7;10;;609;60291;60,291;1,00485;;;;;;
10836762;10836849;10839981;11183053;11266976;338;0;14;10;125;4_7;11;;609;60291;60,291;1,00485;;;;;;
11333655;11333735;11336851;11680051;11764034;338;0;14;10;125;4_7;12;;609;60291;60,291;1,00485;;;;;;
11830743;11830826;11833956;12177053;12260986;338;0;14;10;125;4_7;13;;609;60291;60,291;1,00485;;;;;;
12327613;12327696;12330817;12674051;12758046;338;0;14;10;125;4_7;14;;658;65142;65,142;1,0857;;;;;;
12828427;12828510;12831692;13229055;13312988;396;0;14;10;125;4_7;15;;658;65142;65,142;1,0857;;;;;;
13379705;13379786;13382948;13782051;13866034;396;0;14;10;125;4_7;16;;658;65142;65,142;1,0857;;;;;;
